date,daily_total_new,hour,hourly_steps_new,cumulative_daily_steps_new,dow,week_weekend,daily_total_old,hourly_steps_old,cumulative_daily_steps_old,hour_diff_new_old,cumulative_diff_new_old,wrist_location_new
2020-12-16,12143,6,0,0,Wed,Weekday,12012,0,0,0,0,Upper
2020-12-16,12143,7,157,157,Wed,Weekday,12012,163,163,-6,-6,Upper
2020-12-16,12143,8,2482,2639,Wed,Weekday,12012,2799,2962,-317,-323,Upper
2020-12-16,12143,9,230,2869,Wed,Weekday,12012,182,3144,48,-275,Upper
2020-12-16,12143,10,292,3161,Wed,Weekday,12012,253,3397,39,-236,Upper
2020-12-16,12143,11,293,3454,Wed,Weekday,12012,283,3680,10,-226,Upper
2020-12-16,12143,12,359,3813,Wed,Weekday,12012,315,3995,44,-182,Upper
2020-12-16,12143,13,222,4035,Wed,Weekday,12012,145,4140,77,-105,Upper
2020-12-16,12143,14,323,4358,Wed,Weekday,12012,235,4375,88,-17,Upper
2020-12-16,12143,15,286,4644,Wed,Weekday,12012,265,4640,21,4,Upper
2020-12-16,12143,16,430,5074,Wed,Weekday,12012,486,5126,-56,-52,Upper
2020-12-16,12143,17,5672,10746,Wed,Weekday,12012,5573,10699,99,47,Upper
2020-12-16,12143,18,635,11381,Wed,Weekday,12012,492,11191,143,190,Upper
2020-12-16,12143,19,196,11577,Wed,Weekday,12012,223,11414,-27,163,Upper
2020-12-16,12143,20,153,11730,Wed,Weekday,12012,101,11515,52,215,Upper
2020-12-16,12143,21,350,12080,Wed,Weekday,12012,425,11940,-75,140,Upper
2020-12-16,12143,22,63,12143,Wed,Weekday,12012,72,12012,-9,131,Upper
2020-12-16,12143,23,0,12143,Wed,Weekday,12012,0,12012,0,131,Upper
2020-12-17,15782,6,203,389,Thu,Weekday,15521,187,373,16,16,Lower
2020-12-17,15782,7,4018,4407,Thu,Weekday,15521,3984,4357,34,50,Lower
2020-12-17,15782,8,495,4902,Thu,Weekday,15521,549,4906,-54,-4,Lower
2020-12-17,15782,9,713,5615,Thu,Weekday,15521,688,5594,25,21,Lower
2020-12-17,15782,10,88,5703,Thu,Weekday,15521,20,5614,68,89,Lower
2020-12-17,15782,11,301,6004,Thu,Weekday,15521,290,5904,11,100,Lower
2020-12-17,15782,12,328,6332,Thu,Weekday,15521,290,6194,38,138,Lower
2020-12-17,15782,13,179,6511,Thu,Weekday,15521,121,6315,58,196,Lower
2020-12-17,15782,14,494,7005,Thu,Weekday,15521,397,6712,97,293,Lower
2020-12-17,15782,15,341,7346,Thu,Weekday,15521,452,7164,-111,182,Lower
2020-12-17,15782,16,0,7346,Thu,Weekday,15521,0,7164,0,182,Lower
2020-12-17,15782,17,111,7457,Thu,Weekday,15521,46,7210,65,247,Lower
2020-12-17,15782,18,942,8399,Thu,Weekday,15521,1009,8219,-67,180,Lower
2020-12-17,15782,19,366,8765,Thu,Weekday,15521,437,8656,-71,109,Lower
2020-12-17,15782,20,6218,14983,Thu,Weekday,15521,6172,14828,46,155,Lower
2020-12-17,15782,21,393,15376,Thu,Weekday,15521,419,15247,-26,129,Lower
2020-12-17,15782,22,380,15756,Thu,Weekday,15521,274,15521,106,235,Lower
2020-12-17,15782,23,26,15782,Thu,Weekday,15521,0,15521,26,261,Lower
2020-12-18,19536,6,0,97,Fri,Weekday,19013,0,165,0,-68,Upper
2020-12-18,19536,7,1327,1424,Fri,Weekday,19013,1267,1432,60,-8,Upper
2020-12-18,19536,8,805,2229,Fri,Weekday,19013,748,2180,57,49,Upper
2020-12-18,19536,9,97,2326,Fri,Weekday,19013,134,2314,-37,12,Upper
2020-12-18,19536,10,402,2728,Fri,Weekday,19013,491,2805,-89,-77,Upper
2020-12-18,19536,11,226,2954,Fri,Weekday,19013,123,2928,103,26,Upper
2020-12-18,19536,12,734,3688,Fri,Weekday,19013,509,3437,225,251,Upper
2020-12-18,19536,13,678,4366,Fri,Weekday,19013,794,4231,-116,135,Upper
2020-12-18,19536,14,5318,9684,Fri,Weekday,19013,5291,9522,27,162,Upper
2020-12-18,19536,15,6284,15968,Fri,Weekday,19013,6285,15807,-1,161,Upper
2020-12-18,19536,16,1156,17124,Fri,Weekday,19013,1162,16969,-6,155,Upper
2020-12-18,19536,17,236,17360,Fri,Weekday,19013,183,17152,53,208,Upper
2020-12-18,19536,18,544,17904,Fri,Weekday,19013,582,17734,-38,170,Upper
2020-12-18,19536,19,1026,18930,Fri,Weekday,19013,557,18291,469,639,Upper
2020-12-18,19536,20,148,19078,Fri,Weekday,19013,255,18546,-107,532,Upper
2020-12-18,19536,21,152,19230,Fri,Weekday,19013,176,18722,-24,508,Upper
2020-12-18,19536,22,306,19536,Fri,Weekday,19013,291,19013,15,523,Upper
2020-12-18,19536,23,0,19536,Fri,Weekday,19013,0,19013,0,523,Upper
2020-12-19,22139,6,0,121,Sat,Weekend,22310,0,212,0,-91,Lower
2020-12-19,22139,7,0,121,Sat,Weekend,22310,0,212,0,-91,Lower
2020-12-19,22139,8,335,456,Sat,Weekend,22310,322,534,13,-78,Lower
2020-12-19,22139,9,186,642,Sat,Weekend,22310,150,684,36,-42,Lower
2020-12-19,22139,10,172,814,Sat,Weekend,22310,122,806,50,8,Lower
2020-12-19,22139,11,3305,4119,Sat,Weekend,22310,3247,4053,58,66,Lower
2020-12-19,22139,12,4965,9084,Sat,Weekend,22310,5015,9068,-50,16,Lower
